GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-scala-core,org.mybatis.scala.mapping,SelectListPageBy,138,0,0,0,6,0,28,0,28,0
mybatis-scala-core,org.mybatis.scala.mapping,SelectMapBy,119,0,0,0,5,0,26,0,26,0
mybatis-scala-core,org.mybatis.scala.mapping,SelectMapPageBy,121,0,0,0,5,0,26,0,26,0
mybatis-scala-core,org.mybatis.scala.mapping,ResultMap,400,0,0,0,156,0,72,0,72,0
mybatis-scala-core,org.mybatis.scala.mapping,ResultMapping,119,0,14,0,24,0,21,0,14,0
mybatis-scala-core,org.mybatis.scala.mapping,package,4,0,0,0,0,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,SqlGeneratedKey,53,0,0,0,6,0,10,0,10,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,Select,17,0,0,0,6,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,Case,141,0,25,0,1,0,31,0,18,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,ResultSetType.,32,0,0,0,5,0,5,0,5,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptBigDecimalTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,SelectList,123,0,0,0,6,0,28,0,28,0
mybatis-scala-core,org.mybatis.scala.mapping,T,46,0,6,0,5,0,8,0,5,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptBooleanTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptByteTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,AutoMappingInherited.,14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,StatementType..anon.new StatementType() {...},9,0,0,0,1,0,2,0,2,0
mybatis-scala-core,org.mybatis.scala.mapping,StatementType..anon.new StatementType() {...},9,0,0,0,1,0,2,0,2,0
mybatis-scala-core,org.mybatis.scala.mapping,T.,13,0,0,0,3,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,StatementType..anon.new StatementType() {...},9,0,0,0,1,0,2,0,2,0
mybatis-scala-core,org.mybatis.scala.mapping,package.,26,0,0,0,3,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,ResultFlag,6,0,0,0,0,0,2,0,2,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptTimestampTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,AutoMappingEnabled,3,0,0,0,0,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptNClobTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,AutoMappingInherited,3,0,0,0,0,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,SelectMapPage,113,0,0,0,5,0,26,0,26,0
mybatis-scala-core,org.mybatis.scala.mapping,ResultMapping.,11,0,0,0,2,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,Statement,49,0,2,0,11,0,3,0,2,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptNStringTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType.,256,0,0,0,33,0,33,0,33,0
mybatis-scala-core,org.mybatis.scala.mapping,Update,75,0,0,0,4,0,17,0,17,0
mybatis-scala-core,org.mybatis.scala.mapping,FQI.,33,0,2,0,1,0,7,0,6,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptTimeTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,ModeINOUT.,35,0,0,0,1,0,9,0,9,0
mybatis-scala-core,org.mybatis.scala.mapping,SelectListBy,134,0,0,0,6,0,28,0,28,0
mybatis-scala-core,org.mybatis.scala.mapping,ModeIN.,35,0,0,0,1,0,9,0,9,0
mybatis-scala-core,org.mybatis.scala.mapping,FQI,185,0,31,0,5,0,36,0,20,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptBlobTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,ResultFlag.,24,0,0,0,4,0,4,0,4,0
mybatis-scala-core,org.mybatis.scala.mapping,StatementType,9,0,0,0,0,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.,8,0,0,0,2,0,2,0,2,0
mybatis-scala-core,org.mybatis.scala.mapping,SelectOneBy,123,0,2,0,7,0,27,0,26,0
mybatis-scala-core,org.mybatis.scala.mapping,TypeHandlers.OptLongTypeHandler,6,0,0,0,1,0,1,0,1,0
mybatis-scala-core,org.mybatis.scala.mapping,AutoMappingEnabled.,14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
mybatis-scala-core,org.mybatis.scala.mapping,JdbcType..anon.new JdbcType() {...},14,0,0,0,1,0,3,0,3,0
